city,genres_list,tags_list,user_id
CT,"['Cover', 'Sacred Worldmusic', 'World Music', 'iMPCPro', 'phish', 'phish', 'Rock', 'Rock', 'creativenation', 'Bobby Earl Ray, Debbie Convoy, Adam Cunningham, Brittini Black, Smith Curry, Modern Country, Power Ballad', 'Singer/Songwriter', 'Hypnotic soulful psychedelic']","['Indian Folk Song', 'iMPC CloudSeeder ""Sir Name"" Mix soul chops loops drums Instrumental official art mixing BGB DownstreamTeam freedownload ""S O U Led"" inspire', 'trey', 'Amfibian', 'phish', 'trey phish marshall']",174850371
"Detroit, Mi","['Jackin House', 'House', 'House', 'House', 'erick decks', 'House', 'Queen & Funk', 'Jackin House', 'Jackin House', 'Jackin House', 'Angelo Ferreri']","['Jackin House ""Ocean Traxx"" ""How You Doing"" Tech', '""Danny Woof"" New Jack Swing RRDL Series Free Download Rawsome Records', 'Cassius Skapes', '""professional rework""', 'Disco', '""Mood Funk Records"" ""Do You Remember"" ""Angelo Ferreri"" ""Free Download"" Jackin', '""Fogbank "" Material Saladcast ""House Salad"" ""House Music""']",154566995
sanford,"['Hip-hop & Rap', 'Hip-hop & Rap', 'G-House', 'G-HOUSE', 'House', 'Hip Hop', 'welcome to AREA21', 'Dillon Francis', 'Dance & EDM', 'Electronic', 'Dance', 'Electronic', 'tchami ', 'dance', 'Renegade Mastah', 'Dance', 'Electro', 'Dance', 'Hip Hop', 'House', 'Electro House', 'virus', 'martin', 'Martin Garrix', '+x', 'Rap Hiphop', 'Rap Hiphop', 'Rap Hiphop', 'House', 'House', 'House', 'House', 'Dance', 'ANGELZ ', 'Electronic', 'stfu ', 'bassjackers', 'future house', 'Electro House', 'Electro', 'Protocol Recordings', 'Dance', 'Bassjackers', 'House', 'LIKE A BOSS', 'Deep House', 'House']","['Confession Malaa Dombresky Soundbank ""Sample Pack"" Pere g-houe ""how to make g"" ""g-house "" ""g-house samples"" ""g-house vocals"" ""g-house soundbank"" seruim sylenth1', '""G-House S"" ""G-HOUSE MIDI"" G- ""Confession style template"" ""confession style drop"" tchami malaa UTOPIA Mambo', 'soundcloud:source=android-3rdparty-upload', 'Messin Around Podcast Mesto', 'Logic ""The Incredible True Story"" ""Visionary Music Group"" stainless', 'Flugel AREA21 Shots Welcome ""I like girls""', '""the right song"" ""dillon francis"" tiesto ""oliver heldens"" ""natalie la rose""', '""LA LA LAND""', '""Lukas Graham"" poison ""7 years"" edm Mashup lakerfield Progressive', 'electro ""Musical Freedom"" ""Mike Williams"" ""Justin Mylo""', '""missing you"" ""ac slater"" ""kaleem taylor"" ""after life""', 'house', 'HI-LO ""Heldeep Records"" House', 'Firebeatz ""Chocolate Puma"" Lullaby Bishop', '""Mike Williams"" ""Sweet & Sour""', 'Curbi 51', 'Inferno ""Sony Music"" sweden', 'logc i dope hiphop upcoming upcomingartist upcomingrapper mixtape 2011music 2012music thatdope ""underground hip hop"" undergroundrap underground money rap cool hot new lyricist chillout chill chillin blaze faded young sinatra jcole', 'Curbi ""Pep & Rash"" ""Spinnin\' Remixes"" ""ELECTRONIC MUSIC""', '""martin Garrix"" Animals Wizard Tiesto ""Jay hardway"" ""Original Mix"" ""Radio Mix""', 'garrix matisse sadko dragon yolo swag legitness martijnisdoingthesetags', '""The Weeknd"" Remix', '""Happy New Year"" ""Free Download"" Bouncybob ""Martin Garrix"" ""Justin Mylo"" Mesto', 'Curbi Fraternité Ep Circus', '""Future House"" ""Future House Music"" ""Jonas Aden""', '""Future House"" ""Jelle Slump"" Dreams', '""Sleepy Tom"" ""Anna Lunoe"" Pusher ""Fool\'s Gold""', 'Confession', 'malaa pregnant ""fools gold"" house ""ninja sonik""', 'bounce', 'crossnaders spcmn free download', '""future garage"" house ""future samples"" ""oliver heldens"" tchami ""skifonix sounds"" ""Electro House"" ""electro samples"" ""my nu leng"" ""don diablo"" ""oliver heldens samples"" ""future house samples"" ""future house sample pack"" ""future house constructions"" ""construction kits"" ""construction kit"" loge21 ""aaron jackson"" ""Deep House"" ""deep house samples"" ""deep future""', '""Electro House"" Bassjackers Reez ""Musical Freedom""', '""Nicky Romero"" ""Florian Picasso"" ""Want It Back"" Origami', 'Mightyfools Gangsta ""Free Download""', 'Reez Rough ""Musical freedom""', '""Get Down"" Tiesto ""Tony Junior""', 'dubstep electro dyro electronic ""like a boss"" wolv']",147603805
Colorado Springs,"['Hip-hop & Rap', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Dance & EDM', 'R&B & Soul', 'Progressive Trance', 'HIP-HOP', 'AOA', 'Pop', 'Hiphop', 'D!P Squad', 'CARNIVAL 2014-2014', 'Daya', 'pop', 'Hip Hop', 'ghost', 'Pop', 'Hip-hop & Rap', 'Hiphop', 'West', 'Melamin', 'Trap', 'Metal', 'Future Bass', 'feel trip', 'SIVIK', 'Pop', 'Trap', 'fnf', 'Electronic', 'Trap', 'Pop', 'OT Genasis', 'danialkim #popdanthology #2014 #mashup pop', 'Rap ', 'pop', 'Freestyle ', '2015', 'DJ-JP', 'Colombia']","['denvermusic instrumentals', 'Hip-Hop ""Kanayo King"" Rap Trap', '""tie #die #dove #love #child""', '""Blue Tunes Records"" ""Pop Art"" Mr.Suit Spipper', 'iKON BIGBANG GD TAEYANG Twice 여자친구 IU 아이유 박진영 프라이머리 SHINEE Zion.T 자이언티 싸이 PSY Crush EXO 엑소 ""프리미엄 프로젝트"" ""Premium Project""', 'ratchet trap ""Hip Hop"" bpm twerk hbk house edm dubstep Rave rage dance music Electro remix mix dj original bootleg booty ass edit bae', 'SHOWBREED HKEMPIRE ""ICE POP LADY"" BUGZBUGS ""DE INSECT"" CALYPSO SOCA STX CARNIVAL KIDS ADULTS Massive SKIP MUSIC', '""Hide Away"" ""Dance Pop"" Dance Pop Lorde Banks ""Selena Gomez"" Kiesza Virtu ""Sexy Electric"" Chill Electronic', '""ROYAL ORDER MUSIC"" RSNY ""REGGAE MUSIC"" ""YOU\'RE THE ONE"" ""TRAP SOUL"" ""DANCEHALL MUSIC"" Dancehall REGGAE ""AFRO BEATS""', 'radio xo senavoe rap ""Hip Hop"" ghana africa', 'nightcore', 'teacha ebx 100grand cmz creativemindz mizmo pop oddzmaker straightspitten republic yaboy yeeeeee music hiphop good cali mindz creative hip rap goodmusic love true 100', 'Messinian Dubstep make the dream pop brostep Grime', 'Podcast', 'trap Trap CRNKN X gLAdiator Up Down', 'XxyzZ Album Future Bass Trap Hiphop', 'cute future ""future bass"" jazz chill deep vintage bass neuro', 'Boonah swerve richboi', 'new music winter collection ep pop Electronic', '""Dark "" Instrumental Beat Beats Hiphop Rap ""Beat to rap to"" ""new beat"" 808 Kick snare Gangsta instrumentals ""Hip Hop"" Street maffia Underground Sad cry', 'Trap TrapStep Hip-Hop Trapcore Trapstyle Trapaholics Beats 808 Drum Dubstep Drumstep Dub Step Electro Electronic Bass BassMusic EDM Dance Hip Hop HIPHOP Techno Crunk Crunk-Step Festival TrapMusic.NET', 'DJ SKOOLBOI WORLDHEARTBEATRADIO INE LIVE MIX DJSKOOLBOI AFROBEATS Dancehall SOCA 2016 ARIZONA Soca ""PHOENIX CARIBBEAN"" CARNIV HOLLYWOOD CARNIVAL TEAMNOSECRETE @NOSEC WORLD HEART BEAT RADIO EDIT CLEAN', '""The Game"" Rap HipHop CoCo TD2 ""The Documentary 2""', 'reFX Nexus2 Nexus expansion ""Nexus expansion"" Pop', 'Trap Hiphop Hardstyle Bubbling Hardcore DJ-MY$TER!A', 'djearworm 50shadesofpop unitedstatesofpop Mashup', 'TheOfficialDJJP NYCMixxyiestDJ JP 2015 Dancehall SOCA HipHOP R&B', 'Mexico Argentina Chile Ecuador Guatemala DominicanRepublic PuertoRico Honduras ElSalvador Panama Espana DJs LatinMix Mix Latino Mixtape LMPDJS TeamLMP Mixes Bachata Reggaeton Dancehall House Top40 Trance Dance HipHop Rap IAMLMP']",139166048
Anchorage,"['Hip-hop & Rap', 'Disco', 'Electronic', 'House', 'House', ""80's Street Soul"", 'Disco', 'Disco', 'Deep House', 'Hip-hop & Rap', 'R&B & Soul', 'matrodasound', 'matrodasound', 'Dancehall', 'Hip-hop & Rap', 'Delicious', 'Soundtrack', 'Hip Hop', 'Funk', 'Mix', 'Soul Clap Records', 'House', 'Disco', 'Disco', ""Once in the mornin'"", 'Dark', 'Seven Kingdoms', 'Soundtrack', 'Pop', 'House', 'Deep House', 'Disco', 'R&B & Soul', 'Electronic', 'House', 'House', 'Pop', 'Dance & EDM', 'DISCO', 'Disco', 'Disco', 'Mutant Club', 'House']","['""Hall & Oates"" Pomo', '""White Lexus Rap"" jay-z ""dj premier\'"" gangstarr mick chiduly', 'Disco R&B House', 'techhouse disco bootyhouse tech-house ""underground house"" vibes ""psycho disco"" seattle ""q nightclub""', '""B. Bravo"" ""Sammy Bananas""', 'Boogie ""Modern Soul"" ""Late 80\'s Soul"" ""80\'s groove"" Disco-Dee Synth ""chill out"" R&B Street', '""Hip Hop"" Breakbeats Vinyl Discogs', '""bouncy house"" ""le boeuf"" djcity ""deep house"" ""destinys child remix"" ""say my name"" distortion2017 throttle disclosure reason95', 'beats Instrumental Turntablism ""thes one"" ""dj day"" mpc3000 do-over ""people under the stairs"" puts thes djday', 'RIRI', 'Other', 'Turntablism', '""Friday Feb 10th"" Giggles ""Cmon Everybody"" Brooklyn', 'JayDee JDilla Dilla HipHip Rap Common Tribe DeLaSoul Madlib Detroit LosAngeles Vinyl James Yancey Mix Mixtape', 'OnMetamorphic TechHouse House DeepTech Latin Dj Producer MixSeries Podcast MetamorphicSessions', '""G Funk""', '""Michael The Lion"" Disco ""Diggin Deeper France"" ""Jay Airiness""', '""Eli Escobar"" Razor-N-Tape Disco Edit EP Vinyl Wax 2016 Manhattan Brooklyn', '""Game of Thrones"" ""Vallar Morghulis""', 'vibes', '""Late Night Munchies"" ohJack ""We Won\'t Go"" ""House Music""', '""Mayer Hawthorne"" ""Detroit Swindle"" Blues FREEDOWNLOAD', 'alfa paare make it groovy party house', 'booze', 'spring again back together house alfa paare', '""Rinse FM"" Podcast ""Kenny Dope""', '""Tech House"" ""UK House"" ""Deep House"" ""Bass House"" ""DJ SKT"" ""Low Steppa"" ""James Hype"" Remix MP3 Download Free James Hype Lick ""I Wanna"" Techno', 'EDIT CHRISTMAS FREE ""RED GREG"" RECORDS', 'House Caserta CasertaMusic FreeDownload', 'EDIT ""RE EDIT"" REWORK Disco CHIC', 'MIX EDC insomniac', 'House LateNightMuchies']",162201958
Idaho,"['Latin', 'Hip-hop & Rap', 'Reggaeton', 'Trap', 'Drum & Bass', 'hip hop', 'Hip-hop & Rap', 'House', 'Hop Hop', 'dorite', 'House', 'Mazembe', 'Ambient', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Pop', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Hip-hop & Rap', 'Pacha Recordings', 'House', 'Disco House', 'Indie', 'Tech House', 'Pacha Recordings', 'Club House', 'Hip-hop & Rap', 'Hip-hop & Rap']","['USMG REYJAMA', 'MasteredByLANDR', 'KingofManyVoices', 'Mix Trap ""Hip Hop"" Club Banger Rap t.i youngthug ""young thug"" b.o.b', 'fabolous lilwayne rickross mmg booba lafouine ymcmb meekmill 3010 universal djbattle', 'L.Dre ""i am a table"" ""table god"" rap grizzy ""kyle gee"" ""d savage"" nessa ""yen reneaux"" ldrethegod ldrethegiant ldre lon3wolfmob ""lon3 wolf"" ""lon3 wolf records"" ""Hip Hop"" trap', 'EzipIN ""Progressive House"" EDM', 'New rap music pop, radio remix hiphop club dance video kanye drake 50 lil young good minaj wiz kendrick dub rick', 'faded tea tdr henney paul foe iphone baby tdrbby bitches', '""Future House""', 'Tribal Congo Mazembe ""Tout Puissant""', 'classic cinematic Ambient ""new age"" Electronic', '""hiphop #rap #r&b #motivation #dundun""', '""Hip Hop"" Rap 2016 2017 mikiah', '""Pop ""', 'rap ""Hip Hop"" 2017', '""Hip Hop"" Rap Pop/Funk', 'future ronniepdasoulja ""im still stuntin"" coldswagg freebandz fbg cse ""coldswagg ent"" ""coldswagg entertainment""', 'House Sax ""Hed Kandi"" ""Deep House"" Cocktail Dance Pop Party ""Ibiza "" Pacha Miami ""RICH MORE"" exclusive ""new single"" ""Pacha Recordings""', '""Tech House"" Dance Pop Party EDM ""Ibiza "" Pacha ""Ministry of Sound"" Spinnin ""Hed Kandi"" Miami Tomorrowland miami electronic ""RICH MORE"" traxsource Armada dance exclusive ""new single""', 'House ""RICH MORE"" Disco Dance Pop Party EDM ""Ibiza "" Pacha ""Ministry of Sound"" Spinnin ""Hed Kandi"" Miami Tomorrowland miami electronic traxsource dance exclusive ""new single""', 'Rock Edm Indie ""Electronic Rock""', 'Toolroom Dance Miami ""RICH MORE"" Sony Claptone Camelphat', 'Ibiza Dance Pop Party Pacha Miami ""RICH MORE"" traxsource dance ""new single"" ""Pacha Recordings""', 'Club Ibiza Spinnin Dance Pop EDM ""Ibiza "" Pacha ""Hed Kandi"" Miami ""RICH MORE"" exclusive ""new single""', '""Hip Hop"" Rap 2016 2017 newmusic', 'Club Cool Cult New Neurofunk ""Hip Hop"" Rap Raw']",256737639
"Kansas City, San Antonio, Los Angeles, New York","['131', '131', '131', '131', '131', '131', '131', '131', '131', '131', '131', '131', '131', '131', '131', '131', '131', '131']",[],149651818
MIAMI ,"['MIAMI', 'GOSPEL']",[],152093043
PORTLAND,"['exclusive ', 'Metro Thuggin', 'Reggae', 'Hip Hop']","['soundcloud:source=android-3rdparty-upload', 'busy signal busysignal ""busy signal"" prince princeron wassronnie']",202858871
Panama City Beach,['SEO'],"['""Best SEO"" ""Best SEO Company"" ""SEO Company Atlanta"" ""SEO Atlanta"" ""Best SEO Company Atlanta""']",69878137
